uid;numQ;numA;numC
893;1;0;10
894;4;2;12
898;6;0;3
901;1;0;58
902;1;72;5
903;1;0;2
905;4;17;231
909;1;1;1
910;0;2;166
911;0;1;7
912;5;1;26
913;3;25;8
915;1;2;118
916;7;15;1
921;0;1;16
923;3;0;10
930;0;4;47
933;1;3;28
936;15;28;70
937;1;1;9
938;5;0;27
947;0;1;1
950;11;4;36
951;29;89;4
955;0;14;60
956;1;11;11
964;1;0;269
966;0;1;71
969;1;121;2
970;0;1;1
974;1;5;80
975;0;18;3
976;0;18;12
978;0;1;5
982;6;0;3
985;3;0;37
987;0;42;13
988;12;127;2
989;0;1;4
991;7;15;16
993;5;2;1
994;0;2;5
995;2;7;3
1005;1;0;12
1006;0;1;9
1007;8;75;33
1011;12;0;3
1012;1;1;15
1013;1;0;7
1014;3;2;2
1015;1;8;84
1016;1;0;6
1017;1;0;5
1022;4;4;6
1029;2;25;1
1031;0;5;266
1032;3;3;2
1033;3;40;20
1038;2;0;36
1043;2;0;12
1047;0;4;1
1052;2;1;36
1054;0;2;1
1055;1;0;31
1056;0;1;5
1057;2;0;30
1058;4;765;87
1061;5;3;25
1064;0;2;81
1065;1;145;4
1067;8;2;6
1068;1;0;1
1069;18;2;18
1070;0;3;6
1072;1;0;1
1081;0;2;70
1082;2;0;8
1091;0;1;2
1093;5;4;3
1097;5;91;1
1101;2;5;28
1102;8;10;18
1106;8;2;9
1107;2;8;6
1108;3;2;1
1109;0;1;25
1112;2;0;2
1113;2;0;51
1114;1;0;2
1116;0;6;2
1117;14;1;1
1122;0;1;9
1123;0;13;100
1124;1;8;874
1125;1;3;35
1129;1;2;36
1131;1;0;11
1134;2;5;14
1139;0;3;87
1140;1;2;1
1141;3;1;24
1143;0;1;7
1149;3;0;58
1155;3;3;9
1157;10;345;6
1163;0;2;15
1165;6;12;4
1167;9;4;1
1170;0;1;2
1173;1;0;7
1174;5;0;17
1175;0;1;38
1178;4;9;20
1179;0;1;67
1181;0;1;10
1182;1;0;3
1185;2;2;52
1187;1;0;11
1189;1;0;70
1193;0;12;43
1202;0;1;23
1206;0;16;12
1207;16;14;3
1211;1;0;5
1212;0;1;1
1213;11;8;1
1216;2;165;5
1217;0;1;103
1219;0;3;25
1221;8;355;259
1222;0;1;101
1224;1;1;27
1228;8;42;1
1229;14;1;27
1233;1;0;1
1236;3;3;13
1237;0;77;3
1238;0;14;6
1240;0;2;16
1242;0;3;24
1245;5;108;114
1246;1;0;22
1247;0;1;25
1248;4;24;277
1250;0;1;11
1251;1;0;10
1252;0;1;3
1254;1;0;2
1256;0;2;20
1258;3;2;37
1259;0;9;18
1262;3;0;81
1264;1;0;149
1265;1;1;40
1266;0;3;24
1267;0;19;10
1268;0;1;1
1269;1;1;152
1273;1;0;203
1280;1;1;21
1283;2;4;1
1284;4;38;86
1285;3;69;130
1287;3;1;5
1288;1;5;26
1294;0;2;2
1295;11;2;15
1297;1;0;10
1298;7;0;28
1299;3;0;494
1300;8;4;1
1301;0;1;157
1303;5;4;1
1307;12;0;12
1308;1;0;18
1313;0;29;5
1316;2;0;1
1317;1;0;7
1318;4;13;13
1320;11;677;36
1321;0;1;8
1322;1;0;2
1324;0;3;13
1325;1;0;22
1331;6;0;79
1332;5;3;7
1333;1;0;5
1334;2;0;21
1337;8;20;5
1339;0;1;1
1344;2;0;10
1345;1;5;17
1347;2;25;17
1349;1;0;2
1351;0;1;43
1352;1;0;9
1353;1;0;32
1355;2;0;18
1358;0;9;153
1359;1;1;14
1364;0;1;2
1365;3;0;2
1366;2;2;10
1367;2;0;11
1368;3;3;692
1369;68;1;1
1370;8;33;13
1371;1;1;4
1373;8;47;3
1374;0;1;82
1378;0;3;30
1379;2;3;3
1381;1;7;3
1382;0;8;55
1383;1;0;50
1385;1;0;1
1386;9;2;4
1387;2;0;5
1388;26;19;20
1389;37;8;104
1391;30;31;36
1392;1;0;2
1393;0;1;39
1397;12;8;3
1398;1;0;13
1399;2;0;5
1405;1;1;6
1407;0;1;2
1408;0;1;65
1409;1;4;21
1414;0;2;1
1415;0;4;2
1416;1;1;12
1417;0;2;5
1418;0;12;2
1423;0;3;7
1426;0;14;19
1427;2;0;9
1430;2;0;104
1431;2;0;3
1432;1;6;39
1433;1;1;311
1435;1;0;10
1436;0;6;48
1438;4;0;15
1439;11;2;11
1440;4;21;10
1441;1;0;156
1443;2;2;4
1444;2;0;7
1447;1;0;3
1448;0;1;1
1452;0;7;1
1453;1;1;16
1459;0;1;2
1460;1;0;3
1465;0;47;4
1467;0;1;9
1468;4;84;15
1470;1;17;7
1471;9;18;67
1473;0;18;17
1474;0;3;6
1480;1;1;56
1486;0;1;3
1487;1;0;3
1489;3;0;32
1493;0;1;314
1495;3;0;2
1497;0;99;80
1498;2;1;6
1499;13;6;12
1502;3;52;158
1503;11;20;84
1504;0;24;140
1505;8;4;1
1507;1;0;1
1509;2;4;6
1513;2;0;55
1514;6;9;6
1517;0;1;24
1521;1;0;5
1522;1;30;23
1524;0;1;55
1525;42;15;18
1526;8;7;65
1527;4;2;2
1529;4;3;1
1532;0;12;2
1536;1;0;1
1538;32;46;2
1543;10;10;60
1544;1;0;8
1547;2;0;13
1552;1;0;2
1555;2;8;1
1556;0;3;3
1563;2;2;2
1564;1;1;11
1568;11;2;13
1569;0;2595;48
1571;0;5;1
1576;19;7;36
1579;2;0;15
1581;1;1;25
1582;1;0;2
1585;1;7;15
1587;29;133;10
1590;0;3;3
1591;1;0;19
1592;3;21;6
1593;1;2;18
1596;18;14;7
1598;1;0;14
1602;1;0;11
1605;2;0;21
1606;0;21;1
1607;2;1;5
1609;7;104;49
1611;0;44;3
1612;0;1;2
1614;5;1;6
1615;0;2;109
1617;0;3;1
1618;1;18;2
1621;1;0;4
1622;1;0;49
1623;0;1;1
1624;0;4;11
1625;2;0;12
1627;2;64;45
1628;0;3;2
1630;0;1;3
1631;3;1;4
1632;1;0;107
1635;0;1;9
1638;1;0;2
1639;1;0;1
1643;12;7;4
1645;2;2;9
1648;2;3;1
1650;2;1;1
1654;0;4;16
1655;1;0;12
1657;1;1;7
1660;2;4;53
1662;1;0;29
1664;7;2;2
1666;2;0;3
1668;1;7;4
1671;0;1;6
1673;0;3;2
1675;1;0;1
1676;1;0;5
1678;2;0;218
1680;8;0;5
1682;2;0;4
1683;17;2;2
1684;0;2;3
1686;0;1;513
1689;0;3;1
1693;1;0;1
1694;21;6;13
1697;1;1;104
1701;4;36;4
1703;7;36;3
1707;45;2;11
1710;3;111;183
1711;0;1;24
1713;2;8;22
1716;2;0;3
1718;3;0;6
1719;13;3;7
1720;0;1;22
1721;3;40;14
1722;8;0;131
1724;9;0;26
1726;3;1;3
1728;5;119;8
1729;1;2;1
1731;2;7;2
1736;2;63;14
1739;0;5;90
1740;11;44;5
1741;1;1;9
1742;0;1;2
1743;1;1;3
1744;6;0;123
1745;1;7;12
1746;0;3;8
1747;4;0;11
1748;0;1;68
1749;0;1;176
1754;1;0;1
1757;1;0;2
1760;1;0;14
1761;6;3;5
1763;1;0;4
1767;3;8;16
1768;1;28;10
1769;0;1;3
1776;2;0;4
1779;0;237;48
1781;1;4;94
1782;1;0;14
1784;0;1;49
1787;0;2;2
1788;1;0;43
1790;13;132;13
1791;2;0;45
1793;0;1;395
1794;2;0;21
1795;2;5;7
1796;0;1;5
1800;2;0;7
1805;0;1;2
1806;3;0;2
1807;0;4;4
1808;1;16;18
1809;0;2;5
1810;0;4;16
1812;0;1;14
1813;0;4;10
1818;1;0;2
1820;1;16;9
1823;0;4;3
1825;1;0;27
1827;0;11;134
1829;2;0;2
1830;17;36;5
1835;12;0;1
1839;7;1;8
1841;6;0;7
1845;3;11;27
1848;2;0;1
1852;1;1;12
1853;2;4;74
1854;1;0;63
1856;0;4;754
1857;1;4;9
1858;0;6;36
1859;3;2;138
1860;1;0;1
1861;0;2;4
1863;0;1;1
1866;6;1;427
1867;1;0;84
1869;5;1;5
1870;6;14;3
1871;1;0;51
1876;3;3;1
1881;4;233;50
1884;1;1;1
1886;0;2;34
1887;0;1;34
1888;7;297;2
1889;1;0;7
1890;2;0;190
1892;2;3;13
1893;6;0;13
1894;6;0;1
1895;1;0;3
1896;1;0;34
1899;14;0;2
1900;0;1;54
1901;8;35;30
1905;8;0;8
1906;1;0;472
1908;3;1;3
1909;2;0;5
1910;1;0;9
1911;0;7;77
1920;2;2;16
1921;0;1;3
1922;1;1;8
1923;0;3;2
1925;0;3;8
1926;21;13;2
1929;0;18;165
1931;0;1;23
1933;1;0;1
1934;14;21;4
1935;1;0;31
1938;0;74;3
1940;0;1;20
1941;2;2;22
1942;10;2;63
1946;3;2;11
1947;0;2;54
1950;1;21;24
1952;0;4;6
1954;1;0;15
1959;0;2;2
1960;0;1;11
1965;2;2;4
1968;0;1;15
1971;0;1;3
1972;12;1;1
1975;6;11;1
1977;1;1;3
1980;2;2;3
1981;0;2;8
1982;1;0;11
1985;1;6;13
1986;4;16;3
1995;0;2;5
1996;1;0;2
1997;0;12;20
2001;1;1;3
2002;4;0;37
2005;0;1;5
2006;1;1;8
2007;0;1;10
2008;0;6;21
2010;0;2;1
2013;0;2;4
2015;0;34;134
2017;1;0;1
2020;2;23;42
2022;0;1;8
2023;7;17;22
2024;3;1;4
2029;0;2;8
2030;7;1;1
2031;3;4;13
2037;1;4;1
2038;6;1;50
2040;37;3;22
2042;6;21;34
2043;0;3;49
2044;3;1;28
2046;0;1;33
2047;0;7;183
2053;27;127;33
2056;3;0;2
2057;0;2;5
2058;1;3;1
2063;0;3;7
2064;2;0;13
2069;1;5;1
2072;0;1;1
2074;2;1;3
2077;12;3;3
2078;1;0;9
2079;0;2;29
2080;15;29;4
2081;2;0;35
2084;19;11;13
2085;23;50;7
2086;2;20;45
2088;3;4;3
2089;0;1;18
2094;7;4;12
2095;2;1;4
2098;1;0;33
2099;1;0;2
2101;0;1;6
2103;3;3;4
2105;0;6;63
2106;0;26;445
2108;0;3;2
2110;1;0;142
2112;0;3;1
2117;4;0;5
2119;3;1;46
2120;30;8;33
2124;1;0;438
2125;0;6;46
2128;6;0;1
2129;2;0;32
2130;7;1;3
2136;0;4;90
2137;2;2;7
2141;1;0;23
2142;0;2;1
2148;0;8;53
2149;0;1;28
2152;6;5;40
2156;1;5;14
2158;0;6;75
2159;0;11;2
2162;0;2;16
2164;5;1;31
2166;6;1;3
2167;3;16;84
2169;5;3;1
2170;0;1;138
2171;0;2;62
2173;3;0;16
2176;2;18;37
2178;0;1;6
2181;0;3;957
2182;0;1;8
2183;0;1;285
2184;0;1;1
2186;1;2;9
2187;17;8;143
2195;0;1;1
2197;1;0;6
2200;9;7;16
2203;0;4;7
2204;1;4;28
2206;0;3;13
2207;1;0;54
2208;0;10;105
2210;6;3;12
2212;3;6;8
2213;0;2;152
2215;4;4;156
2216;3;0;15
2218;0;1;20
2221;1;0;82
2222;2;1;100
2224;1;1;13
2227;3;0;29
2229;3;1;19
2230;1;3;144
2231;0;2;4
2233;1;1;53
2238;0;1;16
2239;0;1;2
2242;0;3;306
2243;0;1;5
2244;1;0;23
2248;0;1;15
2249;1;1;6
2250;0;2;9
2252;0;1;13
