uid;numQ;numA;numC
8383;1;0;5
8385;0;12;12
8390;2;0;5
8392;1;0;6
8395;1;0;22
8396;1;1;43
8397;0;5;12
8399;0;9;194
8401;4;2;169
8406;0;2;77
8408;0;1;17
8411;3;3;44
8416;0;7;2
8418;5;1;3
8419;0;2;1
8421;15;1;11
8423;2;4;139
8426;0;1;3
8429;2;3;319
8433;2;0;1
8434;1;1;1
8435;2;9;3
8440;0;1;8
8441;7;0;14
8443;0;3;1
8445;2;4;406
8448;0;7;171
8450;0;4;358
8451;0;1;2
8454;3;0;4
8455;1;0;3
8456;0;2;3
8457;5;137;11
8459;1;0;32
8460;0;25;145
8461;0;3;7
8464;11;4;1
8465;1;0;6
8467;0;2;1
8469;0;1;3
8471;0;1;20
8475;0;6;1
8477;3;0;6
8479;1;4;66
8481;5;2;1
8482;1;1;82
8491;3;2;19
8493;0;1;1
8494;22;11;20
8496;1;0;6
8501;2;0;2
8502;6;1;15
8503;0;2;10
8504;0;23;4
8510;4;15;1
8513;8;80;1
8515;0;5;506
8516;5;4;12
8517;0;9;173
8522;0;1;3
8523;0;2;5
8525;1;0;4
8528;0;1;3
8529;16;6;424
8530;3;7;9
8532;3;1;27
8534;1;2;1
8535;2;0;7
8537;2;0;35
8538;0;1;6
8541;1;0;13
8542;8;6;7
8544;2;8;7
8545;10;2;16
8547;5;9;21
8548;1;0;53
8549;0;1;2
8551;2;2;6
8559;41;15;6
8560;0;1;4
8561;0;1;11
8562;3;0;58
8563;1;0;6
8565;2;5;6
8566;1;0;27
8567;0;1;6
8568;0;1;1
8570;0;2;30
8571;7;10;18
8574;0;2;1
8575;0;1;4
8577;1;0;5
8578;27;17;40
8579;1;6;598
8580;2;4;7
8585;6;27;12
8586;1;0;33
8588;2;0;55
8589;1;7;1
8592;1;5;221
8594;15;13;2
8597;5;66;11
8599;0;3;2
8601;0;4;5
8602;0;1;2
8604;1;49;234
8605;1;0;40
8607;0;6;70
8608;5;44;79
8609;3;0;3
8611;3;0;22
8612;4;1;53
8613;2;2;55
8616;0;1;14
8617;2;0;4
8619;0;4;20
8621;1;2;114
8624;0;3;29
8627;7;25;27
8628;0;1;1
8629;1;0;1
8630;1;11;2
8632;0;1;8
8634;2;2;19
8635;0;3;25
8637;6;9;23
8640;4;4;6
8641;1;0;4
8642;0;1;27
8643;2;1;8
8646;7;23;8
8647;0;9;2
8649;0;1;4
8650;0;1;12
8654;1;0;2
8656;1;0;6
8658;1;0;163
8662;3;0;26
8663;0;1;1
8665;1;0;1
8666;0;6;50
8667;0;5;5
8670;0;3;101
8674;0;5;114
8676;0;6;26
8677;0;2;47
8678;1;2;118
8682;6;6;3
8683;1;0;1
8684;0;12;3
8686;1;2;1
8688;0;1;1
8689;2;4;2
8690;0;2;148
8691;0;1;2
8692;0;3;111
8693;15;7;32
8695;0;1;31
8696;1;16;126
8697;1;1;2
8700;0;1;8
8701;1;22;25
8703;0;1;17
8704;5;1;2
8706;1;0;4
8707;1;0;2
8709;9;261;91
8710;0;2;20
8711;1;0;1
8712;0;1;67
8714;3;0;1
8715;0;2;13
8717;2;1;1
8718;3;0;18
8719;2;2;19
8720;0;1;1
8721;5;0;8
8722;2;2;13
8724;1;0;16
8726;3;797;75
8727;0;13;66
8728;3;0;1
8729;13;1;6
8731;0;1;226
8734;0;1;3
8737;9;0;119
8741;1;0;12
8743;4;1;10
8744;28;115;8
8746;1;0;37
8747;0;1;7
8751;0;1;15
8752;3;1;47
8753;0;19;2
8755;0;1;19
8756;6;3;38
8758;0;18;19
8759;4;1;2
8760;0;2;54
8761;0;6;9
8763;1;0;19
8765;1;10;55
8767;1;1;32
8769;5;14;3
8776;1;0;3
8779;3;2;19
8781;5;1;14
8782;11;8;7
8783;5;9;26
8785;0;1;79
8786;3;2;29
8787;1;0;64
8789;21;20;4
8792;3;0;105
8795;0;1;18
8796;8;2;316
8797;0;1;7
8798;2;5;29
8799;1;1;3
8800;1;17;108
8801;8;2;212
8803;0;3;51
8804;4;0;1
8805;2;0;8
8806;0;2;29
8807;1;0;65
8809;8;0;1
8810;1;0;12
8812;1;0;8
8814;5;0;29
8816;0;2;6
8818;0;6;46
8822;0;3;8
8826;0;21;37
8830;27;14;31
8832;5;155;11
8833;0;13;22
8834;1;0;31
8837;0;1;353
8839;1;0;70
8840;11;98;36
8841;1;0;3
8842;2;3;3
8850;0;1;10
8853;6;0;1
8854;1;2;1
8855;0;1;57
8856;1;0;22
8857;16;20;20
8860;2;0;2
8862;0;2;20
8869;0;2;6
8870;3;32;4
8873;1;9;1
8875;3;2;27
8877;3;12;3
8879;6;7;35
8882;1;3;3
8884;0;1;57
8885;6;5;88
8886;1;0;44
8887;1;0;79
8888;32;7;133
8889;0;1;2
8890;1;0;9
8891;0;3;891
8893;0;3;1
8894;0;7;4
8896;2;0;35
8897;1;1;87
8898;6;29;6
8899;11;31;32
8901;0;1;45
8903;0;17;6
8905;0;6;4
8907;0;3;1
8908;1;0;17
8909;0;7;4
8911;0;1;13
8912;1;1;13
8913;0;2;1
8914;0;1;20
8917;22;2;1
8918;22;20;15
8919;1;2;4
8920;1;1;2
8923;5;0;31
8924;3;0;15
8925;4;9;3
8926;0;2;208
8927;0;20;17
8929;0;1;1
8930;1;0;2
8931;3;102;7
8933;4;0;13
8934;5;37;1
8935;3;4;6
8937;9;0;12
8938;6;39;4
8940;0;4;4
8941;1;0;34
8942;0;1;30
8943;2;0;8
8946;7;0;7
8947;0;2;2
8948;2;0;1
8949;7;5;6
8950;0;2;156
8951;10;9;6
8952;1;17;245
8954;1;0;46
8955;12;1;146
8956;3;2;9
8957;0;5;39
8959;1;1;23304
8960;2;1;2
8961;110;65;2
8963;5;5;2
8966;2;2;97
8967;1;5;2
8968;1;12;1
8969;0;7;1
8970;2;0;16
8971;2;6;8
8972;1;4;36
8973;0;1;83
8974;0;2;3
8979;2;0;11
8982;1;0;15
8983;1;0;5
8984;2;0;1
8988;0;1;59
8990;1;7;38
8991;4;0;2
8992;0;5;14
8996;0;1;33
8997;2;17;13
8998;1;13;50
8999;0;1;242
9000;0;1;7
9001;3;0;8
9004;0;1;3
9005;0;1;19
9006;0;6;19
9008;4;3;1
9009;2;1;81
9012;2;1;37
9013;0;3;6
9014;1;1;61
9018;0;4;2
9020;2;0;1
9024;12;1;3
9026;1;0;3
9027;4;3;5
9030;1;0;6
9032;1;1;5
9033;11;5;11
9034;0;1;4
9035;0;3;28
9036;0;26;194
9037;1;0;31
9039;1;1;20
9042;1;5;44
9043;0;1;8
9044;7;77;48
9045;1;0;11
9046;1;1;10
9049;1;1;184
9052;4;1;2
9055;0;1;15
9056;6;1;11
9057;6;1;40
9059;1;0;1
9060;276;2;5
9061;0;1;1
9063;6;2;23
9066;5;1;114
9067;1;1;5
9068;0;1;40
9070;2;6;1
9071;0;5;24
9074;9;73;88
9076;2;0;1
9077;2;0;38
9084;5;1;2
9086;1;14;24
9090;101;20;8
9092;1;12;8
9095;1;0;1
9097;10;3;35
9100;0;11;39
9101;21;21;3
9105;0;1;32
9106;4;1;138
9108;0;1;22
9111;2;4;38
9112;1;0;33
9113;0;54;185
9114;1;0;1
9118;3;1;7
9122;0;1;234
9124;11;7;11
9125;1;0;1
9126;0;2;13
9128;2;0;24
9130;0;1;4
9132;0;5;10
9135;5;7;4
9137;0;7;6
9140;0;4;3
9141;0;1;66
9142;0;31;46
9143;3;2;24
9144;1;1;60
9146;7;4;1
9148;6;10;1
9151;0;1;3
9152;0;1;11
9156;1;3;9
9157;0;16;6
9158;2;9;9
9160;1;2;9
9163;9;7;1
9166;1;5;5
9169;0;1;1
9170;2;125;1
9172;3;17;267
9173;0;2;58
9176;14;15;1
9178;1;9;7
9181;14;7;82
9183;0;5;2
9185;1;0;7
9189;1;5;4
9191;6;1;20
9193;6;6;5
9194;2;1;10
9196;4;22;3
9198;31;55;2
9202;0;1;2
9203;0;5;2
9204;0;3;5
9208;2;0;30
9209;8;6;2
9211;1;0;7
9213;2;32;45
9215;4;1;2
9218;2;0;4
9221;0;2;12
9222;2;8;122
9223;0;1;88
9224;2;0;2
9225;4;1;54
9228;5;94;184
9229;0;2;13
9230;10;15;5
9233;0;4;1
9234;48;91;5
9236;0;30;1110
9237;0;7;209
9238;11;5;33
9239;1;0;6
9240;2;69;6
9243;0;16;406
9244;1;3;6
9245;1;0;244
9246;1;1;965
9247;0;1;2
9249;36;2;2
9250;0;3;52
9251;2;12;96
9252;1;2;1
9255;1;1;1
9256;4;0;39
9257;6;13;76
9260;1;0;2
9261;6;2;91
9262;5;6;956
9265;3;0;48
9266;1;2;2
9269;1;9;12
9270;0;5;42
9273;0;1;32
9274;0;2;2
9275;0;1;12
9276;1;0;3
9277;3;0;9
9279;1;0;2
9282;1;0;30
9285;0;7;12
9287;0;81;9
9290;1;1;2
9292;8;4;4
9294;3;0;1
9295;0;2;29
9296;0;1;36
9298;1;6;60
9301;4;0;5
9303;0;3;9
9310;10;17;2
9312;2;6;123
9314;0;1;3
9317;2;0;3
9319;0;1;1
9323;2;4;85
9325;0;3;16
9326;0;4;36
9327;2;4;67
9328;1;0;9
9332;3;1;9
9333;0;1;1
9338;0;1;4
9339;0;1;376
9340;0;4;4
9341;2;0;13
9344;8;0;14
9347;3;3;8
9348;5;5;20
9349;1;0;16
9353;1;3;12
9357;1;0;198
9358;3;0;1
9359;5;0;2
9361;19;0;22
9362;0;1;653
9363;89;51;3
9366;11;1;71
9367;1;174;2
9368;1;0;217
9369;28;4;1
9370;6;47;5
9372;7;50;5
9374;1;1;37
9375;4;2;4
9376;28;187;72
9377;7;22;20
9382;1;0;26
9383;0;3;3
9385;0;1;5
9386;7;4;17
9388;2;0;28
9390;1;0;17
9395;1;0;2
9396;0;2;60
9401;0;21;42
9406;1;0;9
9407;0;7;3
9410;1;3;10
9413;1;1;1
9414;3;1;20
9415;0;1;3
9417;19;20;3
9418;0;6;3
9421;0;1;1
9424;5;0;8
9425;0;3;196
9426;1;36;27
9428;1;0;2
9429;0;4;26
9430;0;1;3
9432;1;1;15
9433;0;1;24
9438;2;0;2
9439;0;3;9
9441;0;1;18
9443;14;4;86
9444;3;13;49
9445;1;2;31
9446;6;0;6
9448;0;1;5
9450;1;0;3
9453;18;3;52
9454;0;171;61
9457;0;2;9
9459;0;11;71
9460;1;0;3
9462;0;11;46
9463;3;1;9
9468;0;2;33
9472;0;1;3
9474;0;1;144
9475;1;0;1
9477;2;2;37
9478;0;1;1
9479;0;1;13
9481;0;4;8
9483;1;0;1
9485;0;1;19
9486;1;4;1
9487;3;2;4
9488;1;1;1
9493;1;2;36
9496;0;4;32
9497;0;2;16
9498;1;0;70
9499;1;1;1
9502;0;2;51
9505;7;172;5
9506;0;1;2
9507;1;0;4
9510;1;0;3
9511;7;1;2
9514;0;1;22
9515;0;1;130
9519;22;2;1
9520;7;1;61
9521;1;93;222
9524;1;0;1
9525;2;112;5
9530;2;55;19
9532;2;136;1
9533;0;3;1
9535;4;0;21
9537;0;1;54
9540;0;6;44
9542;0;1;22
9543;0;1;81
9544;0;6;124
9549;1;0;35
9551;0;1;5
9554;0;12;1
9559;1;0;1
9562;5;6;52
9563;0;2;57
9564;2;22;14
9565;2;5;1
9569;0;1;42
9570;2;0;18
9571;1;111;89
9572;3;2;6
9575;0;9;106
9576;4;6;2
9579;0;6;2
9580;1;0;14
9581;1;8;12
9582;1;1;1
9583;1;1;15
9584;18;40;77
9587;4;1;4
9589;2;0;1
9590;3;2;3
9591;2;2;29
9593;5;23;6
9595;8;20;18
9597;1;0;4
9598;4;1;41
9599;0;2;2
9603;0;1;723
9606;1;0;89
9608;2;3;29
9610;0;1;1
9611;1;0;14
9612;5;1;6
9613;1;1;12
9614;1;3;28
9618;4;12;4
9619;1;0;17
9620;2;1;199
9621;0;1;5
9623;3;4;3
9625;1;40;39
9627;52;14;8
9628;5;0;80
9629;0;1;18
9633;1;0;171
9635;0;7;4
9637;0;1;118
9638;0;2;1
9640;5;0;58
9641;1;1;9
9642;1;1;5
9643;1;0;3
9648;3;2;1
9649;0;25;4
9654;0;1;63
9656;9;14;302
9661;0;2;163
9662;2;0;5
9664;0;1;7
9667;2;2;1
9669;2;1;46
9671;22;0;15
9679;3;17;2
9680;0;33;8
9681;0;1;34
9682;2;2;7
9686;2;6;52
9689;2;0;188
9690;3;0;214
9695;1;0;25
9700;1;0;10
9701;22;13;16
9702;1;1;48
9708;1;0;1
9709;2;202;2
9713;5;140;103
9714;0;2;34
9719;51;76;25
9720;0;4;466
9721;3;0;6
9722;0;12;2
9723;0;1;19
9727;0;7;4
9732;2;8;50
9735;1;0;25
9736;1;0;4
9741;1;5;41
9744;0;3;26
9746;1;1;47
9747;0;3;3
9748;7;14;14
9749;0;1;4
9750;6;5;2
9751;1;1;39
9754;2;13;1
9755;0;3;9
9756;1;0;3
9758;7;38;89
9759;6;6;28
9761;0;6;49
9766;0;1;75
9768;0;1;205
9769;1;0;2
9773;2;7;108
9776;1;0;5
9777;3;2;293
9781;0;6;3
9784;3;0;2
9785;7;1;17
9786;0;1;1
9787;18;24;2
9788;0;7;94
9794;0;1;20
9795;6;0;38
9797;1;0;32
9798;0;1;8
9801;1;0;28
9803;1;4;17
9806;0;30;6
9807;0;193;958
9809;0;11;60
9810;1;175;59
9811;0;1;28
9813;0;2;1
9817;0;1;1
9818;1;0;1
9828;8;13;3
9829;1;0;1
9831;0;2;8
9832;6;0;22
9835;3;2;7
9839;25;3;13
9840;3;0;2
9841;1;0;14
9842;0;2;3
9843;4;0;8
9848;2;3;2
9849;0;8;25
9851;107;13;6
9852;1;2;1
9853;1;1;2
9854;0;1;1
9855;0;34;3
9860;1;1;1
9868;1;0;1
9870;1;0;17
9873;0;1;1
9875;1;1;53
9876;3;2;5
9878;1;0;18
9879;1;0;2
9880;14;1;1
9882;0;1;79
9885;24;26;24
9891;0;2;26
9892;4;5;1
9897;5;0;3
9898;0;61;19
9899;0;1;3
9900;1;0;13
9903;1;0;2
9904;0;1;30
9905;4;0;13
9907;1;1;1
9908;3;2;3
9910;2;1;1
9913;0;1;1
9914;2;0;5
9916;3;4;15
9917;0;1;1
9918;0;1;14
9919;0;19;3
9920;1;0;3
9921;17;66;1
9922;0;1;29
9926;0;1;3
9927;0;3;12
9928;0;6;241
9930;5;47;200
9932;0;2;44
9933;3;0;32
9935;7;1;7
9936;0;1;3
9937;0;1;9
9938;0;2;1
9941;1;0;2
9945;4;2;7
9947;0;1;32
9950;1;0;8
9951;0;1;28
9952;0;27;7
9953;6;1;1
9954;2;0;1
9957;0;2;3
9962;2;0;4
9963;0;1;5
9964;23;55;20
9966;0;2;1
9968;2;10;10
9969;0;2;6
9970;2;1;36
9972;1;0;4
9973;3;9;5
9974;0;1;12
9975;2;1;2
9976;1;0;8
9979;0;2;148
9981;4;52;550
9983;1;0;4
9984;5;5;149
9986;0;1;1
9989;0;2;3
9991;3;0;40
9993;0;1;7
9995;5;1;23
9996;0;1;23
9998;2;0;2
10001;6;6;7
10005;0;1;67
10008;0;6;1
10009;0;1;3
10011;4;92;3
10013;2;3;12
10015;1;1;4
10017;0;2;11
10020;1;0;2
10022;1;0;1
10023;1;0;13
10024;9;20;15
10025;1;1;43
10026;0;4;4
10027;0;1;39
10028;1;0;2
10034;6;0;10
10037;2;3;4
10038;1;15;41
10040;16;19;39
10049;1;0;10
10051;8;1;86
10052;1;0;11
10056;2;3;27
10057;4;1;106
10058;1;44;7
10059;1;10;2
10063;8;1;14
10064;2;0;2
10065;1;1;8
10067;19;2;1
10069;15;39;9
10070;2;0;1
10071;1;0;2
10073;0;2;2
10079;1;4;19
10082;1;2;6
10083;3;4;2
10085;6;4;23
10087;2;1;1
10091;2;7;15
10094;0;1;1
10096;2;0;16
10097;0;1;12
10099;0;7;56
10100;1;0;5
10102;0;3;9
10103;0;6;8
10104;0;1;8
10106;1;1;10
10107;0;1;10
10108;2;2;1
10109;1;8;103
10110;1;0;21
10111;1;0;35
10114;2;1;32
10116;1;0;22
10118;1;0;5
10119;0;1;35
10120;5;5;8
10121;4;3;27
10123;0;4;166
10124;0;2;13
10126;1;0;56
10127;1;0;3
10128;0;1;15
10134;0;9;1
10136;15;1;7
10138;1;2;81
10141;11;1;15
10143;4;9;18
10144;1;6;22
10145;2;1;2
10146;0;8;37
10151;2;0;4
10152;9;2;2
10155;0;1;135
10157;0;30;1
10158;1;0;7
10159;2;2;4
10160;1;1;89
10161;78;8;27
10162;0;1;35
10163;1;0;1
10165;0;1;30
10166;12;11;6
10167;1;0;5
10170;2;96;29
10171;1;2;110
10172;0;1;1
10174;1;8;20
10177;1;1;5
10179;0;1;19
10180;0;1;7
10181;5;4;28
10182;1;0;6
10183;12;23;43
10185;3;10;74
10186;1;0;16
10188;15;9;723
10191;0;2;1
10195;2;3;22
10196;4;4;1
10198;6;4;4
10202;2;0;13
10204;0;10;1
10205;7;21;28
10208;1;1;140
10209;3;2;3
10212;8;10;1
10213;0;1;37
10214;1;0;8
10215;0;1;4
10216;2;2;3
10219;1;0;3
10226;56;35;1
10228;31;17;2
10229;5;7;5
10231;0;6;5
10238;1;0;68
10239;0;6;1
10240;2;0;59
10241;0;1;1
10242;4;2;84
10246;1;0;2
10248;9;5;1
10249;1;1;8
10250;2;7;2
10253;10;3;16
10255;0;1;4
10256;2;2;75
10257;10;12;7
10258;1;0;49
10259;1;2;84
10262;0;88;69
10263;1;2;13
10264;1;0;295
10265;1;2;26
10266;1;92;10
10268;0;1;11
10269;0;15;5
10274;0;1;151
10275;15;100;6
10277;0;3;24
10278;1;1;190
10282;0;28;75
10284;1;29;7
10286;0;1;42
10290;0;1;5
10291;1;1;1
10293;2;8;1
10295;1;0;42
10297;4;23;146
10298;0;2;1
10300;2;0;32
10302;2;19;15
10303;4;0;2
10304;11;0;1
10306;0;7;15
10308;0;2;79
10312;4;1;144
10314;0;5;58
10318;1;1;1
10323;1;0;3
10324;0;12;18
10325;56;12;19
10326;1;0;30
10328;0;1;3
10330;0;1;26
10331;0;1;57
10332;10;7;30
10333;8;19;35
10336;0;3;141
10338;19;3;36
10340;3;0;2
10342;1;0;1
10344;11;7;115
10346;0;1;32
10347;3;4;16
10348;3;2;4
10351;3;6;20
10354;4;21;10
10355;0;3;14
10356;1;0;38
10357;8;0;7
10358;1;1;2
10359;0;2;23
10360;0;4;34
10362;0;1;307
10364;1;0;23
10368;6;2;2
10369;6;0;2
10372;2;0;19
10373;2;0;10
10374;0;19;34
10376;10;0;2
10378;2;19;76
10381;0;5;2
10384;0;2;32
10386;5;0;1
10387;6;1;12
10388;4;1393;6
10389;14;19;1
10391;32;7;3
10392;0;2;55
10394;1;16;67
10396;1;0;25
10397;8;7;77
10400;1;255;2
10401;0;8;151
10403;2;0;13
10404;3;4;13
10405;0;27;5
10407;0;3;2
10411;1;5;2
10412;2;3;2
10413;3;5;14
10414;1;0;22
10416;1;0;1
10417;12;0;6
10419;2;1;77
10421;2;0;97
10422;0;13;104
10424;3;4;58
10425;0;2;34
10431;1;1;57
10432;12;4;1
10433;2;1;14
10434;6;7;4
10435;1;1;425
10436;1;2;119
10437;1;2;20
10439;0;19;6
10441;27;9;7
10445;1;0;2
10449;17;6;4
10457;0;1;3
10462;0;21;15
10463;1;0;70
10465;1;0;77
10466;3;1;5
10467;0;1;8
10468;0;1;41
10470;1;0;3
10471;21;0;16
10472;6;21;74
10475;1;0;1
10477;0;1;3
10478;0;1;11
10480;3;0;1
10482;0;2;70
10483;12;44;21
10485;0;4;69
10487;0;3;27
10489;70;4;108
10493;0;7;8
10494;19;0;18
10496;11;18;4
10498;4;54;27
10499;3;1;1
10505;14;12;2
10511;0;1;68
10515;0;1;5
10516;1;2;1
10520;0;1;8
10521;1;0;9
10522;1;2;1
10524;0;1;49
10529;0;285;6
10530;0;1;212
10532;0;1;134
10533;1;0;28
10535;0;4;1
10536;2;1;136
10538;15;1;5
10542;0;12;448
10544;0;30;21
10545;1;3;7
10551;1;0;532
10552;0;7;1
10554;9;0;193
10555;13;1;6
10556;8;15;6
10559;0;4;5
10560;1;5;35
10564;1;1;136
10566;4;0;6
10569;1;0;45
10572;0;4;15
10575;0;2;3
10576;2;0;2
10577;0;3;22
10582;0;7;3
10584;0;1;11
10586;0;5;2
10588;1;18;15
10589;0;1;12
10592;0;28;12
10594;0;1;13
10595;4;43;17
10596;0;1;1
10597;5;109;4
10599;0;4;2
10601;1;1;1
10609;0;26;25
10610;0;1;47
10611;2;0;58
10612;1;1;4
10614;0;2;29
10616;0;1;4
10617;0;19;17
10618;0;48;42
10619;0;8;1
10620;3;0;1
10622;2;1;51
10623;0;1;16
10624;27;1;9
10625;5;1;4
10631;29;3;249
10632;1;0;3
10634;2;0;9
10635;0;17;43
10636;2;7;11
10637;1;3;4
10641;1;4;160
10644;3;0;1
10647;4;1;5
10648;1;0;27
10649;1;0;6
10650;1;0;2
10651;6;0;1
10652;1;1;1
10655;94;77;13
10656;1;0;47
10657;2;0;75
10659;1;1;1
10663;0;5;150
10664;2;7;12
10668;0;1;114
10669;8;31;17
10670;1;0;1
10671;1;3;36
10672;2;2;404
10673;1;0;11
10675;4;44;408
10680;0;92;6
10681;1;14;24
10682;1;23;35
10683;1;3;132
10687;0;4;7
10688;0;1;4
10689;1;3;14
10690;4;13;8
10694;1;0;3
10695;0;10;1
10697;2;28;1
10700;1;3;81
10701;3;1;12
10705;1;1;1
10706;2;0;44
10707;7;2;43
10710;1;0;11
10711;1;0;122
10712;0;1;33
10714;4;138;29
10715;6;51;13
10717;1;0;1
10718;0;1;4
10719;1;4;42
10720;4;0;34
10724;0;1;16
10725;1;0;2
10728;1;2;31
10729;0;1;28
10733;2;0;1
10736;2;7;30
10737;0;1;4
10746;3;0;1
10749;14;0;33
10750;0;49;286
10752;0;4;6
10754;5;2;8
10755;2;1;1
10756;4;0;107
10760;1;2;4
10762;1;0;153
10764;2;0;25
10765;3;6;19
10766;1;0;1
10770;0;1;12
10778;0;2;289
10779;25;38;44
10782;0;1;8
10784;11;5;1
10785;0;2;1
10786;2;2;3
10788;8;1;184
10790;0;1;174
10791;1;0;17
10792;0;3;198
10794;4;7;8
10795;0;1;1
10798;9;0;4
10802;0;1;2
10803;1;0;15
10805;1;15;2
10806;3;0;22
10808;1;1;23
10809;0;1;9
10812;10;4;190
10814;0;6;2
10815;0;1;1
10816;1;6;78
10817;2;3;19
10818;1;5;35
10819;8;7;4
10822;0;9;1
10824;1;0;28
10826;15;2;12
10827;15;1;21
10828;1;7;4
10831;2;15;2
10832;0;2;70
10833;14;4;1
10834;1;1;1
10836;0;1;25
10840;0;1;33
10842;1;0;2
10843;0;1;4
10844;4;1;112
10845;0;2;67
10847;2;1;13
10850;0;1;3
10851;2;6;90
10852;0;15;26
10853;4;7;1
10855;0;1;1
10857;9;5;4
10858;0;1;203
10859;0;1;7
10861;1;1;62
10863;1;3;72
10864;1;1;630
10866;0;1;9
10868;0;4;5
10872;10;5;58
10873;1;0;1
10875;0;1;377
10876;0;1;22
10880;0;1;3
10881;0;1;27
10882;0;11;23
10883;3;25;135
10884;4;85;31
10886;6;0;36
10887;3;114;10
10888;5;51;210
10890;7;1;10
10892;0;1;1
10893;0;10;16
10894;0;4;1
10895;0;1;3
10896;11;24;16
10898;1;0;1
10900;0;1;16
10901;1;0;154
10904;7;5;182
10905;4;3;623
10908;2;0;65
10909;11;6;3
10910;0;7;64
10911;0;2;139
10912;1;2;1
10915;2;2;11
10916;1;5;1
10917;1;0;4
10920;0;1;8
10923;1;0;76
10926;5;2;29
10927;5;111;76
10928;33;8;2
10929;0;1;17
10932;2;1;1
10934;3;40;3
10935;0;3;5
10939;3;66;101
10940;1;0;2
10942;1;12;26
10947;3;9;3
10948;2;12;1
10951;2;0;7
10952;4;0;7
10955;0;1;39
10959;0;1;24
10962;0;2;17
10964;9;2;12
10965;0;1;924
10970;10;20;5
10972;0;1;1122
10973;12;193;15
10976;0;15;81
10977;6;1;2
10979;1;2;25
10981;1;0;2
10983;2;37;279
10984;0;1;1
10986;1;0;84
10989;0;3;1
10990;0;1;9
10991;0;1;2
10992;1;6;1
10995;1;0;1
10997;6;0;5
10998;1;1;21
10999;6;1;5
11002;0;1;15
11003;0;1;38
11004;5;1;16
11006;6;24;143
11007;1;3;1
11009;1;0;1
11013;2;0;4
11014;3;2;11
11015;0;5;2
11016;2;9;93
11017;4;8;71
11018;4;7;3
11019;1;21;13
11020;0;1;33
11021;0;2;1
11022;4;0;7
11024;0;4;27
11027;0;6;2
11028;0;2;2
11031;1;0;10
11034;0;1;10
11037;1;0;1
11038;1;0;42
11040;0;1;1
11042;1;0;7
11043;7;2;11
11044;12;0;3
11045;0;7;122
11047;0;4;51
11049;2;0;216
11050;2;0;12
11053;2;9;43
11054;7;4;1
11057;0;4;4
11061;0;1;292
11064;2;0;8
11067;0;4;71
11068;2;0;18
11069;1;0;532
11070;2;0;14
11076;1;0;4
11082;10;31;13
11083;1;1;154
11087;14;0;2
11091;23;39;195
11092;1;0;3
11093;1;0;25
11094;1;1;6
11097;0;5;3
11098;2;0;4
11103;1;3;39
11104;3;2;1
11106;16;3;6
11107;0;3;153
11108;23;2;39
11109;0;1;1
11111;1;11;6
11112;154;31;5
11113;9;10;1
11114;13;2;8
11115;25;9;42
11117;4;0;6
11122;10;10;2
11124;2;0;1
11125;1;8;7
11126;5;318;4
11128;4;5;8
11129;0;4;29
11131;1;0;94
11135;1;3;8
11136;0;1;4
11139;0;1;195
11143;1;2;63
11144;2;0;24
11145;2;2;1
11148;1;1;26
11149;4;43;16
11158;11;32;95
11160;5;4;31
11161;1;0;2
11164;2;0;3
11166;1;12;1
11167;0;1;1
11168;0;10;2
11169;0;38;1
11172;1;0;8
11173;1;0;1
11176;2;0;23
11180;1;6;1
11182;0;2;9
11183;2;2;29
11189;0;1;11
11190;0;1;3
11193;1;9;279
11194;0;1;6
11196;0;2;21
11200;1;0;30
11202;2;41;3
11205;1;32;720
11206;0;2;224
11208;1;47;10
11209;4;2;5
11215;1;31;36
11216;0;14;34
11217;0;1;7
11220;0;1;18
11223;3;126;40
11224;3;1;26
11226;29;4;47
11229;2;0;272
11230;1;0;13
11231;0;1;16
11232;171;13;6
11233;0;1;97
11234;3;4;63
11238;1;3;2
11239;1;3;85
11240;6;14;4
11241;9;28;9
11245;6;15;76
11246;0;3;31
11248;10;16;14
11251;9;0;16
11254;1;9;10
11257;4;0;6
11258;0;1;2
11263;1;0;32
11266;0;1;84
11268;0;3;43
11271;0;2;8
11272;8;3;33
11275;3;0;1
11276;0;18;17
11277;1;18;3
11279;21;20;16
11280;1;0;3
11281;0;5;625
11283;0;2;5
11285;0;1;33
11289;0;5;1
11290;0;1;1
11292;9;115;40
11300;1;5;60
11301;1;0;7
11304;2;1;36
11307;0;1;33
11309;2;0;176
11310;1;0;1
11311;4;10;66
11312;1;0;18
11313;1;0;4
11319;0;1;16
11320;1;6;270
11326;2;3;104
11327;1;0;10
11329;2;1;7
11330;0;1;133
11332;2;14;7
11333;1;1;2
11334;1;0;3
11335;1;0;25
11336;1;0;9
11340;0;1;3
11341;1;0;2
11347;0;8;1
11348;0;1;53
11349;2;2;4
11350;4;3;6
11351;1;4;41
11352;1;0;3
11354;1;0;3
11355;0;1;1
11357;5;11;3
11359;8;0;1
11360;0;1;12
11362;52;29;67
11365;0;34;3
11366;2;2;3
11368;18;3;10
11369;0;3;37
11373;1;0;8
11375;1;30;34
11377;1;3;38
11379;2;0;2
11380;1;0;1
11382;1;1;74
11383;2;0;1
11386;5;9;1
11387;1;0;3
11388;1;0;1
11389;0;6;13
11393;28;2;80
11395;7;16;1
11396;1;0;9
11397;0;4;35
11399;0;1;2
11400;2;8;19
11401;0;23;15
11403;4;20;348
11404;0;1;12
11405;1;0;25
