real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
165.927;165.927;5987.127;165.927;5987.127;165.927;5987.127;165.927;165.927;165.927;47.681
3371.373;3371.373;;47.681;;47.681;;47.681;3371.373;3371.373;5987.127
;;;5987.127;;5987.127;;5987.127;;;
47297.27;1332.531;148044.25;138552.87;219500.896;97815.99;30866.44;184758.461;44451.574;35882.426;45673.512
15345.777;3380.432;1001.957;73.979;8101.676;241293.717;4598.305;448.717;317872.534;7878.661;463444.618
48493.827;30453.595;224.343;16102.971;176033.819;20123.428;30875.22;6980.8;;154652.674;77384.217
;15491.705;;27539.315;;29883.924;26162.138;54791.173;;11192.963;
;;;;;;;;;23419.483;
607179.077;607179.077;365053.0;243039.617;542179.667;122689.704;357348.687;377841.834;13804.804;607179.077;40376.27
;;;;;;;;180305.81;;
116645.44;247428.704;41283.297;377830.222;10264.216;328388.903;377642.85;209448.826;;5913.716;204744.672
314549.547;110286.108;194628.36;466406.102;;;;32487.427;;;37249.045
84744.077;84744.077;84744.077;84744.077;84744.077;84744.077;84744.077;84744.077;84744.077;84744.077;84744.077
1226.703;;;;248381.934;;123611.294;228601.998;;;
;;;;27404.213;;2367.11;438.037;;;
;;;;;;433.864;2815.72;;;
;;;;;;178.848;;;;
;;;;;;3248.248;;;;
;;;;;;77525.137;77181.99;;;207624.28
;;;;;;452149.053;582751.01;;;582248.196
28944.777;337659.927;;;;;71414.133;;;;
7056.877;7056.877;139849.411;7056.877;250994.647;137715.184;4028.304;53313.024;7056.877;97140.641;137768.241
;;4028.304;;966.254;858.307;;7056.877;;7056.877;7056.877
634.977;765435.135;1061560.468;;163006.17;;715554.123;1248278.36;152021.036;997944.974;
419813.333;;;;;;;;;;
437140.997;27551.923;6796.136;;;24665.885;610213.039;120944.67;240335.454;281006.183;695043.843
;79273.033;135038.919;;;;;;;;
557122.79;;;;;312176.482;;;255806.806;277634.909;
151851.407;151851.407;;;151658.944;;;;151851.407;151851.407;
1886.917;622.146;120797.049;51991.409;48343.66;2450.422;43474.841;52948.845;166344.318;5777.323;93423.496
41652.747;14619.686;;22767.902;12351.259;2973.972;15200.056;18912.601;2041.468;51540.29;88.141
968.943;26356.748;;292107.526;17642.378;24565.036;32742.15;186.814;183.034;11450.12;770.171
3265.763;64054.491;;;47611.162;36346.376;33042.443;;455.584;170818.126;48153.523
8833.567;8387.577;;;22359.126;;658.051;;457547.404;;
65852.93;9133.623;;;47520.898;;;;;;
37161.013;;;;;;;;;;
75906.163;76396.91;44884.731;36307.57;60525.591;23040.788;94961.955;34074.49;13610.024;77800.987;580.898
;;10988.431;3.667;;6755.542;3854.275;68790.938;1780.534;;
;;;68472.114;;7021.349;31739.319;;1459.051;;
;;;;;;881.266;;;;
490642.457;490642.457;490642.457;490642.457;490642.457;490642.457;490642.457;490642.457;490642.457;490642.457;490642.457
;;148063.774;;148063.774;149128.187;149128.187;;;;
73282.473;1056170.473;246204.097;138741.467;407763.007;94557.943;196697.552;302621.178;521040.49;393949.045;122638.464
;;634996.257;;624588.061;;;;;;
14744.59;117436.103;;942075.801;;46935.333;;611453.207;;243606.409;475281.133
;;202481.463;;883232.509;202481.463;292887.643;;;;511908.097
784654.0;784654.0;784828.023;784654.0;784828.023;784828.023;784828.023;784654.0;784654.0;784654.0;784654.0
73821.727;73821.727;73821.727;73821.727;73821.727;73821.727;73821.727;73821.727;73821.727;73821.727;73821.727
60491.693;60316.063;;38586.517;;119321.567;;349822.913;40158.144;728136.813;767388.463
;;;728312.443;;;;;40718.391;;
1634.317;1634.317;1634.317;1634.317;1634.317;1634.317;1634.317;1634.317;1634.317;1634.317;1634.317
359105.823;359105.823;359105.823;359105.823;359105.823;359105.823;359105.823;359105.823;359105.823;359105.823;359105.823
199370.727;201981.517;203116.313;199370.727;203116.313;199469.367;203116.313;200406.883;201764.703;201666.063;200820.977
551039.327;;315439.757;5332.293;;;611348.791;;;551590.99;
;;;;;;49884.874;;;;
;58752.613;6022.743;;192590.04;;;;;;191810.473
;;175.31;;;;;;;;
156402.02;156402.02;156402.02;149818.507;156402.02;153715.94;156402.02;156402.02;61956.907;156402.02;156402.02
111392.057;111392.057;111392.057;111392.057;111392.057;111392.057;111392.057;111392.057;111392.057;111392.057;111392.057
785409.753;785409.753;785409.753;785409.753;785409.753;785409.753;785409.753;785409.753;785409.753;785409.753;785409.753
183530.457;183530.457;127130.107;6563.457;119333.521;97359.007;127130.107;183530.457;183530.457;181824.364;33785.021
;;;;;;284626.293;;;;
66660.797;11031.582;71380.068;17187.484;7610.049;46737.101;353496.686;375089.39;166953.083;27908.777;33360.64
;;;272457.553;;;;;;35090.446;
11999.077;178123.591;2768.756;256986.885;578203.289;116502.103;23963.626;1019808.283;287557.705;842914.172;5239.599
;;183953.612;;;;;;;;67019.146
79669.997;17896.631;25504.573;4422.964;102854.027;43299.346;27878.667;191112.591;;;124404.475
