real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
922.957;;;;;;;;;;
15676.58;15676.58;;15676.58;;;;15676.58;15676.58;15676.58;15676.58
61168.303;61168.303;61168.303;61168.303;61168.303;61168.303;61168.303;61168.303;61168.303;61168.303;61168.303
2151.973;2151.973;2151.973;2151.973;2151.973;2151.973;2151.973;2151.973;2151.973;2151.973;2151.973
;;;;;;26606.024;;;;
2305.123;2305.123;2305.123;2305.123;2305.123;2305.123;2305.123;2305.123;2305.123;2305.123;2305.123
;;;;;39202.844;;;;;
2528.717;2528.717;;2528.717;;;;2528.717;2528.717;2528.717;2528.717
4182.08;;;;;;;;;;
;16843.986;;;15568.31;;;;;;
;;;;;;;4817.48;8803.383;;
;;;;;;;;;;15358.313
8342.053;8342.053;8342.053;8342.053;8342.053;8342.053;8342.053;8342.053;8342.053;8342.053;8342.053
927.043;927.043;927.043;927.043;927.043;927.043;927.043;927.043;927.043;927.043;927.043
580.473;;;580.473;;580.473;580.473;580.473;580.473;580.473;580.473
;;;8659.551;;;;;;;
;;22442.677;;;;;;;;
951.657;951.657;1846.16;;2958.586;;;;;951.657;
;;;;;;;;44878.934;;
;;5462.778;;;;;;;24035.083;
;;;;;;;6293.694;;;
146.543;;;;;;;;;;
;;;;;;;;38062.026;;
;74309.405;;;;;;;;;55801.788
;;;;30827.173;19955.487;2350.666;;69501.249;60855.06;
1396.25;1396.25;1396.25;1396.25;1396.25;1396.25;1396.25;1396.25;1396.25;1396.25;1396.25
1412.54;;;;;;;;;;
80720.823;80720.823;80720.823;80720.823;80720.823;80720.823;80720.823;80720.823;80720.823;80720.823;80720.823
43.403;;;43.403;;;;;;;
9106.0;2682.534;;;;;;;;;
;;;;;;;;14641.941;;
;;;;;;46379.152;;;;
14793.467;14793.467;14793.467;14793.467;14793.467;14793.467;14793.467;14793.467;14793.467;14793.467;14793.467
13227.147;13227.147;;;;;;;;13227.147;
69279.58;;70218.819;;;70218.819;;;;;
;;;;;;;;;;4475.247
4591.743;4591.743;;4591.743;;;;4591.743;4591.743;4591.743;
1799.2;;;;;;;;;;
;;;;;;;;;;4341.733
388.63;388.63;388.63;388.63;388.63;388.63;388.63;388.63;388.63;388.63;388.63
17616.69;17616.69;;;;;;;;17616.69;
;2996.123;;;;;;;;;
;;;;;;;;;;8280.616
449.983;;;;;;;;;;
860.33;;;;;;;;;;
;;4840.68;;;;;;;;4840.68
11745.68;11745.68;11745.68;8426.25;11745.68;6788.514;9832.69;2715.943;11745.68;11745.68;11745.68
22536.107;22536.107;22536.107;22536.107;22536.107;22536.107;22536.107;22536.107;22536.107;22536.107;22536.107
1163.037;1163.037;;;;67854.55;;;;1163.037;
35562.67;35562.67;35562.67;35562.67;35562.67;35562.67;35562.67;35562.67;35562.67;35562.67;35562.67
4512.887;4512.887;4512.887;4512.887;4512.887;4512.887;4512.887;4512.887;4512.887;4512.887;4512.887
;;;;;;67790.649;;;;
2482.263;;;;;;;;;;
133.307;;;;;;;;;;
;;4688.007;;;;;;;;
;;;;;2039.264;;2039.264;;;2039.264
;;;;;;;;;32681.693;50072.948
5804.507;5804.507;5804.507;5804.507;5804.507;5804.507;5804.507;5804.507;5804.507;5804.507;5804.507
;;;7951.389;;;;;;;
;;;;7458.734;;7458.734;;;;
;;;;;43153.767;;;;;
1599.47;1599.47;1599.47;1599.47;1599.47;1599.47;1599.47;1599.47;1599.47;1599.47;1599.47
;;12135.277;;12824.52;;;;;;
;;;;;;60925.706;;;;
;;;;;;10398.083;;;;
;;;;4710.58;;;;;;
137033.007;;;;;59233.114;;25567.748;;;86053.173
;;;;;20058.693;;25654.767;;;
;;;;;;42239.991;;;;
;;98606.645;;37888.515;;;;;;
;29695.187;;;;;;;;29695.187;
93861.6;;;;;15236.392;;699.459;;;
;;;;;;;50511.539;;;
;;;10049.48;;10049.48;;10049.48;;;10049.48
11809.16;11809.16;2653.39;11809.16;11809.16;11809.16;2653.39;11809.16;11809.16;11809.16;2653.39
3493.83;3493.83;3493.83;3493.83;3493.83;3493.83;3493.83;3493.83;3493.83;3493.83;3493.83
;;;;;;;99698.316;39111.846;;
;110314.68;;;149792.629;;;106775.592;149792.629;;
;;;86821.991;95739.175;;;;;;
1339.587;;;;;;;;1968.987;;
1169.707;;;;;;;;;;
250.403;;;;;;;;;;
2912.097;;;;;;;;;;
743.3;;;;;;;;;;
101306.48;101306.48;101306.48;101306.48;101306.48;101306.48;101306.48;101306.48;101306.48;101306.48;101306.48
;;64581.993;;64581.993;;64581.993;;;;
;;;102680.67;;;;;;;
37115.203;37115.203;37115.203;37115.203;37115.203;37115.203;37115.203;37115.203;37115.203;37115.203;37115.203
;;29485.573;160179.651;;151777.246;;;;;
;;16155.956;;4903.3;;;86168.423;;;
;;;;;34871.194;;;;82573.15;
;;;50080.483;;;;80617.18;;;
;;;30418.963;;;;;;;
;18456.517;;;;9443.18;;;29134.623;;
8549.77;8549.77;8549.77;8549.77;8549.77;8549.77;8549.77;8549.77;8549.77;8549.77;8549.77
78389.55;;32603.216;75829.394;;31323.016;;;;;
59385.407;8925.96;59385.407;59385.407;;59385.407;;8925.96;;8925.96;8925.96
;;;;;66394.557;;;;;
221.843;;;;;;;;;221.843;
12563.05;12563.05;2612.394;12563.05;8983.437;12563.05;2612.394;12563.05;12563.05;12563.05;2612.394
312.38;312.38;;61211.337;;61211.337;;61211.337;312.38;312.38;61211.337
;;;;;;35845.68;;49326.606;;
40534.11;;;;;;;;;;
;22853.607;;;;;;;;;21713.607
2234.177;2234.177;2234.177;2234.177;2234.177;2234.177;2234.177;2234.177;2234.177;2234.177;2234.177
;;;;;;;;;8307.759;
2455.2;;;2455.2;;2455.2;;2455.2;2455.2;;
;;;;4579.24;;;;;;
;;;;24995.656;;;;;;
;;;;;;1852.894;;;;
96157.61;16144.19;96157.61;96157.61;19293.06;96157.61;39294.803;16144.19;39294.803;16144.19;16144.19
;;;;24528.253;;;;;;
;;;66447.95;;;;;;;
17368.273;;51736.566;;;;;;;;
;;;;;70326.55;;;;;
3397.403;3397.403;3397.403;3397.403;3397.403;3397.403;3397.403;3397.403;3397.403;3397.403;3397.403
;23847.827;;71973.893;;;;129422.121;;;
;;;;5903.393;;;;;;
;49232.744;;;;;;;;;
;;;;;22576.521;;;;;
19715.017;19715.017;19715.017;3389.313;19715.017;19715.017;19715.017;3389.313;3389.313;19715.017;3389.313
;;;19715.017;;;;19715.017;19715.017;;19715.017
58786.203;58786.203;58786.203;58786.203;58786.203;58786.203;58786.203;58786.203;58786.203;58786.203;58786.203
;;;;;;3087.586;;;;3087.586
;;;;;;2576.343;;;;
;;;;;;;;24438.327;;40584.689
;;;;1556.094;;;;;;
123.57;123.57;2108.25;2108.25;2108.25;2108.25;2108.25;2108.25;123.57;123.57;2108.25
2108.25;2108.25;;;;;;;2108.25;2108.25;
;;;;;;;27582.09;;;
106111.917;;;90451.643;;;;;;;
;;13228.936;;;;;;;;32320.747
;;;;;;;16969.983;;;
3188.403;3188.403;3188.403;3188.403;3188.403;3188.403;3188.403;3188.403;3188.403;3188.403;3188.403
2675.093;64885.387;;;;;;;;2675.093;
;2675.093;;;;;;;;;
105885.68;;;;;145704.09;27024.308;;;97159.699;128099.814
1781.317;1781.317;;1781.317;;;;1781.317;1781.317;1781.317;1781.317
30448.2;;;;24459.19;;;60700.627;;;71730.347
;18591.725;115379.882;;;;;;;;61386.81
;;;;;;;7320.48;;;
40542.39;40542.39;40542.39;40542.39;40542.39;40542.39;40542.39;40542.39;40542.39;40542.39;40542.39
;223237.613;;;123621.72;;;;;;
66000.173;21309.035;420.486;28974.395;;97597.191;;;26663.104;38309.649;22947.084
;;13987.997;;;4817.411;;;;;
;;;14131.815;;;;;;;
;;;99089.247;;;;;176237.214;52985.194;
;;;;;51195.15;;;;;
;;;129939.518;;189066.776;24439.483;;;;
108915.743;;;108915.743;;;;;;;
1974.593;1974.593;1974.593;1974.593;1974.593;1974.593;1974.593;1974.593;1974.593;1974.593;1974.593
189964.113;189964.113;;;;;;;189964.113;189964.113;
;;;;;;;;;100583.223;2098.953
22444.823;22444.823;;;;;;;;22444.823;
;;;;;71995.66;;;71995.66;;192426.333
;;164207.699;;53893.214;147886.957;;35243.477;;;151.764
36424.34;;;36424.34;;36424.34;36424.34;36424.34;36424.34;36424.34;36424.34
11203.133;;;54881.421;;;88567.296;;;;25259.939
59756.727;;;;56906.873;;;;49126.066;;
;;;;102450.233;;;;15915.376;;
;;193.78;;193.78;;193.78;;;;
;;;;61831.436;59633.47;;;20074.97;;
72798.66;72798.66;72798.66;72798.66;72798.66;72798.66;72798.66;72798.66;72798.66;72798.66;72798.66
186523.727;186523.727;;;;;;;;186523.727;
;29486.02;;;;;;;;22420.054;
