real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
;70602.327;;;;;;18089.347;;;
259189.03;;385321.61;259189.03;;259189.03;;259189.03;259189.03;;385321.61
188945.247;;;188945.247;;458467.26;;;614713.02;;
;;;;;;;;98569.237;;
219055.157;2525.866;333596.303;108864.978;279444.613;24099.053;336039.235;41949.18;;3056.643;170.534
;;;33203.854;;40884.253;;479.363;;;66710.358
;;;170149.357;;67906.316;;;;;81392.038
;;;;;318427.983;;;;;
258138.827;258138.827;147814.757;125616.983;58856.363;149539.627;15292.913;17017.783;125616.983;258138.827;147814.757
125616.983;125616.983;15292.913;;123892.113;17017.783;;;;125616.983;15292.913
1302312.147;1302312.147;1302312.147;1302312.147;1302312.147;1302312.147;1302312.147;1302312.147;1302312.147;1302312.147;1302312.147
682470.727;682470.727;682470.727;682470.727;682470.727;682470.727;682470.727;682470.727;682470.727;682470.727;682470.727
471089.46;471089.46;471089.46;471089.46;471089.46;471089.46;471089.46;471089.46;471089.46;471089.46;471089.46
1365109.83;2705782.303;427503.117;1203006.087;1046795.79;1347453.41;653726.944;500763.09;152793.957;1184913.656;78262.318
1589839.017;12711.39;385014.183;1939916.274;1525468.573;1166697.663;818077.661;270846.589;56970.63;43567.773;59336.441
624751.377;54222.293;639657.436;1081446.343;841931.214;738509.76;49547.47;402557.169;948889.77;244847.619;2673380.884
1125585.06;1652080.957;;;;988224.047;709675.657;;213723.49;920102.561;283291.488
;1984295.81;;;;;;;1105284.23;1125585.06;
;1057480.466;;;;;;;;;
332020.99;332020.99;332020.99;332020.99;332020.99;332020.99;332020.99;332020.99;332020.99;332020.99;332020.99
3661227.427;4693540.443;4463182.55;3661227.427;4463182.55;3661227.427;3661227.427;3661227.427;3661227.427;3661227.427;3661227.427
1802481.88;1802481.88;;1802481.88;1572123.987;1572123.987;1394484.184;1802481.88;1802481.88;1802481.88;1394484.184
528096.823;528096.823;919298.333;528096.823;919298.333;919298.333;919298.333;528096.823;528096.823;528096.823;528096.823
5611188.28;5611188.28;5611188.28;5611188.28;5611188.28;5611188.28;5611188.28;5611188.28;5611188.28;5611188.28;5611188.28
219760.987;22583.713;2043867.38;1223508.477;38475.164;221255.863;2043867.38;1565406.084;491239.766;162244.239;639591.607
2043867.38;227113.19;;101160.773;627829.438;127093.137;;;;22583.713;465162.221
;2043867.38;;1527540.387;;468990.744;;;;219760.987;
;;;;;;;;;2043867.38;
502938.153;1633745.287;55608.252;1273442.892;187088.837;217567.616;5163.58;170171.128;219463.018;593554.438;938906.883
;;160586.389;;1311439.0;34695.753;99796.287;515157.034;3401865.954;;
;;;;;571444.223;67642.353;;;;
;;;;;;774809.259;;;;
764368.753;764368.753;764368.753;764368.753;764368.753;764368.753;764368.753;764368.753;764368.753;764368.753;764368.753
;87460.379;595602.986;799202.663;10860.829;212398.869;307132.446;595602.986;10860.829;595602.986;595602.986
;1367169.612;471306.418;;171312.81;6269.862;;;;;
;229084.17;;;357238.236;;;;;;
635013.137;635013.137;5430428.31;635013.137;3366082.557;635013.137;5430428.31;635013.137;635013.137;635013.137;791230.89
3343993.837;3343993.837;100318.59;791230.89;100318.59;791230.89;100318.59;791230.89;3343993.837;3343993.837;100318.59
100318.59;100318.59;;100318.59;;100318.59;;100318.59;100318.59;100318.59;
317529.0;;76966.428;70715.273;27732.095;187917.782;1099.462;245803.106;37296.255;37091.917;20537.136
42132.69;;;529887.066;30795.989;;55371.548;;42256.185;588327.864;169882.493
;;;30902.712;80569.196;;;;501472.795;;20699.626
;;;;;;;;2488.441;;
1053447.233;1053447.233;1053447.233;1053447.233;1053447.233;1053447.233;1053447.233;1053447.233;1053447.233;1053447.233;1053447.233
1785719.047;1904176.376;9117523.41;1785719.047;2644656.846;1697313.207;1742967.983;1822427.827;9483306.267;1617853.363;9117523.41
;;292660.247;1904156.224;80572.863;1815750.384;1940865.004;2029270.844;2102073.397;;160032.707
2350574.027;2099926.643;1015483.451;1421425.807;1878111.073;522981.887;204987.987;1838459.755;834429.871;622537.849;731407.921
179097.683;179097.683;171174.135;479337.127;56535.717;4782882.761;2030990.683;441949.667;2185882.061;319536.943;3178271.045
441949.667;441949.667;441949.667;427306.553;441949.667;440614.981;41892.603;;502697.011;6367477.913;441949.667
;;;;;;441949.667;;441949.667;179097.683;
;;;;;;;;;441949.667;
4133327.643;4133327.643;4133327.643;4133327.643;4133327.643;4133327.643;4133327.643;4133327.643;4133327.643;4133327.643;4133327.643
2045354.84;2045354.84;2045354.84;2045354.84;2045354.84;2045354.84;2045354.84;2045354.84;2045354.84;2045354.84;2045354.84
85394.93;85394.93;23994.41;85394.93;23994.41;23994.41;23994.41;85394.93;85394.93;85394.93;85394.93
178785.453;178785.453;879738.14;1048537.497;879738.14;1048537.497;879738.14;1048537.497;178785.453;178785.453;1048537.497
1048537.497;1048537.497;1048537.497;;1048537.497;;1048537.497;;1048537.497;1048537.497;
172171.36;172171.36;172171.36;172171.36;172171.36;172171.36;172171.36;172171.36;172171.36;172171.36;172171.36
1620669.707;317583.986;93433.91;475098.456;2849792.677;1193002.03;1281880.446;1581828.443;317944.883;29838.769;285241.705
74770.033;457919.273;269153.783;80192.696;292512.386;169084.471;443712.189;199440.183;423067.5;1003152.955;659944.153
112959.54;28605.157;699900.052;1076805.403;826279.886;665571.811;84617.029;75674.566;473050.417;227239.25;1768376.06
14235.523;2109853.58;228543.693;228543.693;538878.236;632268.654;225386.773;247313.222;228543.693;;228543.693
358253.243;225313.66;;;228543.693;228543.693;;373641.205;;;
262983.583;;;;;;;87239.396;;;
228543.693;;;;;;;;;;
2292531.457;2292531.457;2292531.457;2292531.457;2292531.457;2292531.457;2292531.457;2292531.457;2292531.457;2292531.457;2292531.457
3452745.707;3690949.23;1163368.29;3452745.707;7353595.191;2325443.957;3189094.481;3285341.994;3787196.743;2229196.444;1163368.29
945209.177;848961.664;3254737.297;4382039.047;743031.547;4382039.047;3254737.297;4382039.047;4382039.047;945209.177;4382039.047
3404130.407;2946177.66;204242.187;1639879.667;61469.871;3440027.07;1639879.667;188393.681;4746325.063;4842497.604;5594313.028
703503.66;65352.51;;224290.344;204242.187;131955.243;321529.215;188755.194;739400.323;703503.66;357425.878
65352.51;4544.173;;188755.194;;204242.187;61469.871;204242.187;127948.337;65352.51;188755.194
4544.173;204242.187;;204242.187;;;204242.187;;204242.187;4544.173;204242.187
204242.187;;;;;;;;;204242.187;
2918741.823;2918741.823;4499671.87;2918741.823;4499671.87;4499671.87;4499671.87;2918741.823;2918741.823;2918741.823;2918741.823
93561.99;93561.99;93561.99;93561.99;93561.99;93561.99;93561.99;93561.99;93561.99;93561.99;93561.99
184531.53;1336643.217;;184531.53;;358722.237;591190.576;1336643.217;591190.576;1336643.217;1336643.217
;;;;;;584514.51;184531.53;380733.329;184531.53;388312.711
83141.02;83141.02;83141.02;83141.02;83141.02;83141.02;83141.02;83141.02;83141.02;83141.02;83141.02
931908.083;931908.083;931908.083;931908.083;931908.083;931908.083;931908.083;931908.083;931908.083;931908.083;931908.083
;;194631.348;;190716.994;;215972.884;506312.704;;;219510.358
;;;;;;194018.751;;;;193830.311
9066.397;32692.42;1030588.991;1363153.852;12608.144;108490.505;326363.013;11485.254;461729.764;154570.645;136565.406
520147.453;634388.58;454985.891;26656.634;106118.76;223305.631;609673.017;271122.628;167355.183;332592.262;524297.366
8008.087;;;;296359.424;60368.969;50339.696;129310.793;;398871.934;366523.714
;;;;174614.54;;;1543408.91;;;
1065118.843;3504821.911;854398.393;109643.866;1575148.504;2636758.866;;94334.758;519285.427;3928.626;55781.571
1317508.193;12095.514;754.01;273390.922;422229.233;7881.713;;2003409.124;;266946.013;
91664.737;;48212.05;101710.692;844149.393;;;170138.79;;533526.346;
;;70691.324;;;;;;;143492.247;
5399859.277;5399859.277;5399859.277;5399859.277;5399859.277;5399859.277;5399859.277;5399859.277;5399859.277;5399859.277;5399859.277
8113016.84;8113016.84;8113016.84;8113016.84;8113016.84;8113016.84;8113016.84;8113016.84;8113016.84;8113016.84;8113016.84
1638478.877;1638478.877;1638478.877;1638478.877;1638478.877;1638478.877;1638478.877;1638478.877;1638478.877;1638478.877;1638478.877
272576.503;272576.503;272576.503;272576.503;272576.503;272576.503;272576.503;272576.503;272576.503;272576.503;272576.503
992628.46;992628.46;259817.296;888925.726;304462.814;304462.814;200760.08;888925.726;888925.726;992628.46;200760.08
;;992628.46;;;;;;;;
51611.093;51611.093;51611.093;51611.093;51611.093;51611.093;51611.093;51611.093;51611.093;51611.093;51611.093
1215373.457;1215373.457;281297.009;1215373.457;281297.009;281297.009;281297.009;1215373.457;1215373.457;1215373.457;1215373.457
;;1828419.373;;1828419.373;1828419.373;1828419.373;;;;
3873318.227;2883890.756;290632.474;3378449.107;289842.753;845287.904;1795780.994;125972.837;1440527.55;3865045.99;49744.146
127789.71;127789.71;127789.71;171067.424;127789.71;65841.784;127789.71;;34756.43;126579.717;126675.68
;;;127789.71;;85302.017;;;;;
;;;;;125126.45;;;;;
1155050.127;1155050.127;1155050.127;1155050.127;1155050.127;1155050.127;1155050.127;1155050.127;1155050.127;1155050.127;1155050.127
273667.827;273667.827;273667.827;273667.827;273667.827;273667.827;273667.827;273667.827;273667.827;273667.827;273667.827
334373.243;51658.349;56053.542;;29229.829;;98433.109;129243.301;87031.538;60793.864;
;;314090.702;;200.849;;;72808.539;;;
;;;;9737.653;;;;;;
;;;;56656.665;;;;;;
;;;;28322.191;;;;;;
239715.963;239715.963;240873.747;239715.963;240873.747;239715.963;240873.747;239715.963;239715.963;239715.963;240121.153
5631.613;5631.613;5631.613;5631.613;5631.613;5631.613;5631.613;5631.613;5631.613;5631.613;5631.613
2342239.647;2047.633;2047.633;278792.556;232829.667;;421105.64;;;1463.849;278792.556
91607.103;195580.983;79870.173;249669.54;;;177621.457;;;227812.896;241789.296
946289.713;123148.476;59630.2;45739.053;;;89732.177;;;301424.93;68967.406
415019.277;32401.586;;766524.629;;;5649.75;;;464063.107;
;46867.59;;54727.033;;;85133.741;;;;
4009319.357;4016591.547;4015618.937;4009319.357;5919864.01;4009319.357;5911499.6;4009319.357;4009319.357;4015573.79;4015618.937
649758.423;649758.423;640615.618;633132.39;658053.8;225344.87;887307.317;1444320.22;601024.766;446827.677;1772549.621
968107.65;968107.65;75993.287;270178.964;;;375228.19;215760.723;221403.616;968107.65;49515.521
;;968107.65;832861.213;;;968107.65;;;;585651.86
5413.903;1599066.357;608347.19;52997.104;254854.273;1695955.954;602595.478;1104230.037;158421.354;254854.273;1701854.587
96793.76;679398.278;39231.736;324068.261;1276388.547;852177.353;120153.664;99299.46;38059.474;1395592.363;133479.537
650840.51;23926.161;1068317.853;85281.841;32831.237;1083813.473;351789.784;81434.144;298309.778;419878.52;1162431.627
164076.633;220786.196;1689182.216;1222189.952;986230.895;59499.11;470363.607;958677.931;158876.008;252129.113;851255.15
92841.93;1287069.846;618796.306;189057.582;792357.644;555586.662;1620818.61;1520717.077;701543.467;184345.92;59448.314
1224.193;362972.229;26280.516;242314.322;816136.619;405248.772;3036.978;412177.048;1288416.363;60453.875;121522.997
852052.457;300370.476;369239.387;69859.418;9995.763;;485303.014;413501.909;1064219.383;28066.771;348247.154
;;;884645.371;;;;;32213.54;132291.807;24408.773
;;;190772.051;;;;;;;
36870.007;36870.007;36870.007;36870.007;36870.007;36870.007;36870.007;36870.007;36870.007;36870.007;36870.007
228329.517;228329.517;321398.543;228329.517;321398.543;321398.543;321398.543;228329.517;228329.517;228329.517;228329.517
1677.053;1677.053;1677.053;1677.053;1677.053;1677.053;1677.053;1677.053;1677.053;1677.053;1677.053
1521326.81;1521326.81;1521326.81;1521326.81;1521326.81;1521326.81;1521326.81;1521326.81;1521326.81;1521326.81;1521326.81
138335.21;138038.69;4477002.013;138335.21;4477002.013;4477298.533;4476925.35;138335.21;138335.21;138335.21;4476925.35
724319.047;724319.047;724319.047;724319.047;724319.047;724319.047;724319.047;724319.047;724319.047;724319.047;724319.047
