real;sim_0;sim_1;sim_2;sim_3;sim_4;sim_5;sim_6;sim_7;sim_8;sim_9
8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65;8800591.65
1528948.443;1528948.443;1528948.443;1528948.443;1528948.443;1528948.443;1528948.443;1528948.443;1528948.443;1528948.443;1528948.443
1146458.577;1146458.577;1146458.577;1146458.577;1146458.577;1146458.577;1146458.577;1146458.577;1146458.577;1146458.577;1146458.577
4988.537;432601.857;316797.607;3222088.543;976165.76;2265471.33;1152768.134;1730200.301;1152768.134;316797.607;1152768.134
1566293.807;1705423.067;266591.93;116384.813;;1105660.974;733296.387;;251002.971;1589618.817;
706512.86;;;;;;;;;260637.017;
780427.897;780427.897;780427.897;780427.897;780427.897;780427.897;780427.897;780427.897;780427.897;780427.897;780427.897
1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36;1111889.36
136748.827;360804.434;2835727.706;175685.855;1856914.26;329497.263;343991.842;5592757.97;905534.381;1091150.44;3856993.767
;793283.0;;187487.333;;;;;;;
1506913.76;1506913.76;1506913.76;1506913.76;1506913.76;1506913.76;1506913.76;1506913.76;1506913.76;1506913.76;1506913.76
444049.537;444049.537;444049.537;444049.537;444049.537;444049.537;444049.537;444049.537;444049.537;444049.537;444049.537
84758.687;84758.687;263866.743;84758.687;263866.743;84758.687;263866.743;84758.687;84758.687;84758.687;260427.233
263866.743;263866.743;;260427.233;;260427.233;;260427.233;263866.743;263866.743;
436509.657;436509.657;436509.657;436509.657;436509.657;436509.657;436509.657;436509.657;436509.657;436509.657;436509.657
617388.153;617388.153;617388.153;617388.153;617388.153;617388.153;617388.153;617388.153;617388.153;617388.153;617388.153
2942228.177;2942228.177;2942228.177;2942228.177;2942228.177;2942228.177;2942228.177;2942228.177;2942228.177;2942228.177;2942228.177
917489.023;93844.263;88975.651;2359218.414;276430.324;656158.36;944074.097;1022889.518;2440136.573;1900849.041;732387.935
2251930.113;2251930.113;1349716.537;2251930.113;;;725746.153;2251930.113;2251930.113;2251930.113;725746.153
561911.27;1050396.753;1058614.537;252808.276;454500.45;500274.193;383051.926;1179065.013;3425114.917;3649.983;46758.46
1563990.787;1563990.787;1563990.787;1563990.787;1563990.787;1563990.787;1563990.787;1563990.787;1563990.787;1563990.787;1563990.787
918848.157;918848.157;918848.157;918848.157;918848.157;918848.157;918848.157;918848.157;918848.157;918848.157;918848.157
11648.907;89332.613;;;;;;;;11648.907;
;11648.907;;;;;;;;;
1628459.937;1628459.937;1628459.937;1628459.937;1628459.937;1628459.937;1628459.937;1628459.937;1628459.937;1628459.937;1628459.937
;;91920.037;;268996.983;91920.037;179638.69;;;;93668.19
27762.77;27762.77;27762.77;27762.77;27762.77;27762.77;27762.77;27762.77;27762.77;27762.77;27762.77
564338.563;215130.094;134980.29;215130.094;134980.29;187382.507;215130.094;;70013.027;70013.027;564338.563
;9903.62;;;;;;;11262.056;;
24888.603;24888.603;24888.603;3519966.249;24888.603;3519966.249;24888.603;3519966.249;24888.603;24888.603;3519966.249
;;;24888.603;;24888.603;;24888.603;;;24888.603
2620456.6;138478.127;1498199.474;2425317.224;4315907.634;1892576.613;1048720.43;4252836.494;4687049.606;210986.704;62596.707
;;;;;;;93697.903;;;
2927610.71;2927610.71;2927610.71;2927610.71;2927610.71;2927610.71;2927610.71;2927610.71;2927610.71;2927610.71;2927610.71
;;;;;;;19506.621;311779.337;;
1650910.657;1650910.657;1650910.657;1650910.657;1650910.657;1650910.657;1650910.657;1650910.657;1650910.657;1650910.657;1650910.657
717663.713;717663.713;717663.713;717663.713;717663.713;717663.713;717663.713;717663.713;717663.713;717663.713;717663.713
3113046.467;3113046.467;3113046.467;3113046.467;3113046.467;3113046.467;3113046.467;3113046.467;3113046.467;3113046.467;3113046.467
;;;;;;16890.976;;;;
1114969.45;1114969.45;1114969.45;1114969.45;1114969.45;1114969.45;1114969.45;1114969.45;1114969.45;1114969.45;1114969.45
55001.8;;;;88525.81;;;52284.373;;;41254.653
604850.297;604850.297;604850.297;474386.677;604850.297;556576.211;604850.297;604850.297;604850.297;604850.297;604850.297
606558.987;202802.178;1908285.347;4386454.22;2325454.063;1921439.304;1134574.108;706948.58;3910160.202;3130045.532;1254229.537
2669153.453;2669153.453;2669153.453;2669153.453;2669153.453;2669153.453;2669153.453;2669153.453;2669153.453;2669153.453;2669153.453
1221042.63;1221042.63;1245900.054;1221042.63;907132.917;22731.527;907132.917;1221042.63;1221042.63;1221042.63;2105444.02
;;;;6006157.937;6006157.937;6006157.937;;;;
154372.52;305190.065;2249794.654;8357.752;549408.978;465644.047;1453216.624;215670.642;15143.384;109243.476;7700.516
2500636.343;1035002.806;125007.331;1395644.969;807082.076;1111504.81;443041.749;2238600.948;891924.674;42063.599;574415.931
467.177;;;571536.311;;;;143465.055;39390.119;208710.38;
11663.39;11663.39;11663.39;11663.39;11663.39;11663.39;11663.39;11663.39;11663.39;11663.39;11663.39
;;262198.057;;262198.057;262198.057;262198.057;;;;
;;;;;294743.47;1237113.157;;;;1237113.157
77437.55;77437.55;77437.55;77437.55;77437.55;77437.55;77437.55;77437.55;77437.55;77437.55;77437.55
352666.62;;;;;;;;;;331235.28
613802.723;613802.723;613802.723;613802.723;613802.723;613802.723;613802.723;613802.723;613802.723;613802.723;613802.723
7001555.13;7001555.13;4426760.56;5800724.176;4426760.56;6488047.33;5287216.376;5800724.176;5800724.176;7001555.13;5287216.376
1893912.48;1893912.48;1893912.48;1893912.48;1893912.48;1893912.48;1893912.48;1893912.48;1893912.48;1893912.48;1893912.48
203043.633;2552441.446;1045150.071;2451371.694;957156.053;1212097.813;1347608.03;138565.529;387847.53;694256.953;823515.466
622139.937;622139.937;1367465.98;449249.223;1367465.98;254159.103;81268.389;449249.223;449249.223;622139.937;81268.389
5019784.833;5019784.833;5019784.833;5019784.833;5019784.833;5019784.833;5019784.833;5019784.833;5019784.833;5019784.833;5019784.833
4058887.817;6149981.663;2283984.116;4041188.777;1611198.543;376463.286;4332011.27;325711.333;376463.286;1917302.106;308012.293
395380.697;395380.697;877184.73;877184.73;859485.69;877184.73;859485.69;877184.73;877184.73;395380.697;877184.73
78877.023;3048003.023;2825415.764;408768.45;47833.08;17872.231;65927.336;167172.376;1604869.606;3322711.723;167172.376
251636.823;;;;157604.703;102930.924;3868625.483;75267.793;;;1812007.69
69347.2;;;;4046229.85;1201154.397;;;;;
6810993.63;6810993.63;6810993.63;6810993.63;6810993.63;6810993.63;6810993.63;6810993.63;6810993.63;6810993.63;6810993.63
14110803.117;14110803.117;14110803.117;14110803.117;14110803.117;14110803.117;14110803.117;14110803.117;14110803.117;14110803.117;14110803.117
8735865.663;8735865.663;8735865.663;8735865.663;8735865.663;8735865.663;8735865.663;8735865.663;8735865.663;8735865.663;8735865.663
1216147.083;1216147.083;168612.87;568370.321;4760696.646;568370.321;168612.87;568370.321;1216147.083;1216147.083;568370.321
71085.307;71085.307;71085.307;71085.307;168612.87;71085.307;71085.307;71085.307;71085.307;71085.307;71085.307
;;;;71085.307;;;;;;
1613397.593;1447324.044;;1613397.593;;1613397.593;674933.487;1613397.593;1613397.593;581480.107;
9408789.84;9408789.84;9408789.84;9408789.84;9408789.84;9408789.84;9408789.84;9408789.84;9408789.84;9408789.84;9408789.84
1146.82;2392718.987;684090.8;1146.82;684090.8;1146.82;1146.82;1146.82;1146.82;1146.82;1146.82
5955735.97;5955735.97;;5737078.647;;3564163.803;3345506.48;5737078.647;5737078.647;5955735.97;3345506.48
3718884.593;9873651.224;3548090.7;3718884.593;3548090.7;3718884.593;3718884.593;3718884.593;3718884.593;3718884.593;3718884.593
7280454.59;7280454.59;7280454.59;7280454.59;7280454.59;7280454.59;7280454.59;7280454.59;7280454.59;7280454.59;7280454.59
174906.543;;;483849.097;407968.56;850487.798;305002.456;70086.387;459781.879;11795.01;
4422.367;;;;;1331.488;;;;;
;;;;;3320.131;;;;;
685776.593;685776.593;403962.54;685776.593;403962.54;685776.593;403962.54;685776.593;685776.593;685776.593;1101607.876
403962.54;403962.54;;403962.54;;403962.54;;403962.54;403962.54;403962.54;403962.54
1149658.07;757375.437;1327778.093;163255.758;92557.876;791855.398;183441.074;575453.136;391428.601;1457783.752;806209.23
;;4004.306;742525.541;;248033.464;47980.88;218.549;144345.621;94181.695;1402329.594
;;;;;32084.274;956304.384;16385.289;;;
;;;;;;;103182.809;;;
241990.937;241990.937;241990.937;241990.937;241990.937;241990.937;241990.937;241990.937;241990.937;241990.937;241990.937
79128.283;79128.283;;79128.283;;;;79128.283;79128.283;79128.283;79128.283
1712178.88;;;1712178.88;;1712178.88;1712178.88;1712178.88;1712178.88;1712178.88;1712178.88
;3056029.82;;2908960.053;;;;2753890.093;;666269.097;
288178.857;288178.857;288178.857;288178.857;288178.857;288178.857;288178.857;288178.857;288178.857;288178.857;288178.857
2586272.273;2586272.273;;;;;;;2586272.273;2586272.273;
9704.59;9704.59;9704.59;9704.59;9704.59;9704.59;9704.59;9704.59;9704.59;9704.59;9704.59
19241.79;31187.697;148759.02;19241.79;148759.02;19241.79;19241.79;19241.79;19241.79;19241.79;19241.79
135172.897;;;135172.897;;73207.22;;135172.897;135172.897;135172.897;
4540028.857;4540028.857;10021856.71;4540028.857;10021856.71;10021856.71;10021856.71;4540028.857;4540028.857;4540028.857;4540028.857
41036.14;41036.14;41036.14;41036.14;41036.14;41036.14;41036.14;41036.14;41036.14;41036.14;41036.14
6200.36;6200.36;6200.36;6200.36;6200.36;6200.36;6200.36;6200.36;6200.36;6200.36;6200.36
1180234.083;1180234.083;1180234.083;1180234.083;1180234.083;1180234.083;1180234.083;1180234.083;1180234.083;1180234.083;1180234.083
2307365.4;2307365.4;2307365.4;2307365.4;2307365.4;2307365.4;2307365.4;2307365.4;2307365.4;2307365.4;2307365.4
;;;;2511369.293;;;;;;
2419901.233;2419901.233;2419901.233;2419901.233;2419901.233;2419901.233;2419901.233;2419901.233;2419901.233;2419901.233;2419901.233
9693.277;9693.277;14406.671;605435.64;853892.013;9693.277;530350.034;9693.277;605435.64;9693.277;9693.277
;;9693.277;9693.277;9693.277;;14406.671;;9693.277;;
;;;;;;9693.277;;;;
;;1903107.877;;1903107.877;;;;;;
99860.257;;;99860.257;;;;;;;
239048.853;67721.087;;;;;144596.897;67721.087;;;108682.947
1175852.187;1175852.187;1189088.226;3103568.593;4185970.693;3103568.593;1189088.226;3103568.593;1175852.187;1175852.187;1189088.226
700305.807;509033.797;169275.256;1790211.093;1235163.832;135237.252;363078.974;383700.962;8266.627;3399954.656;69264.979
249319.15;249319.15;;76268.98;;193321.48;;;;249319.15;
;;;;;168348.65;;;;;
688995.577;688995.577;242789.793;688995.577;242789.793;433968.531;242789.793;433968.531;688995.577;688995.577;433968.531
13208639.033;13208639.033;13208639.033;13208639.033;13208639.033;13208639.033;13208639.033;13208639.033;13208639.033;13208639.033;13208639.033
2715156.083;2715156.083;2715156.083;2715156.083;2715156.083;2715156.083;2715156.083;2715156.083;2715156.083;2715156.083;2715156.083
271815.077;271815.077;271815.077;271815.077;271815.077;271815.077;271815.077;271815.077;271815.077;271815.077;271815.077
115262.923;2364616.65;1695035.373;115262.923;128163.206;115262.923;128163.206;115262.923;115262.923;5412106.576;1695035.373
295640.61;373209.717;2314707.656;792627.06;1152197.727;;2072049.132;;792627.06;295640.61;
870196.167;870196.167;;;1317287.144;;2237138.549;;;870196.167;
10323247.113;10323247.113;10323247.113;10323247.113;10323247.113;10323247.113;10323247.113;10323247.113;10323247.113;10323247.113;10323247.113
4607891.0;4607891.0;4607891.0;4607891.0;4607891.0;4607891.0;4607891.0;4607891.0;4607891.0;4607891.0;4607891.0
302216.75;1050883.23;302216.75;302216.75;2297713.34;1050883.23;302216.75;1050883.23;302216.75;1050883.23;585287.133
495228.98;3568673.57;29632.883;495228.98;;495228.98;73062.603;495228.98;2820007.09;495228.98;29632.883
4090967.32;;3668800.943;4134397.04;;4939761.173;3668800.943;4939761.173;;4090967.32;4939761.173
1638569.897;436932.104;3692606.067;1638569.897;4894243.86;4894243.86;4894243.86;1638569.897;1638569.897;1638569.897;3257011.724
2415853.01;2415853.01;2415853.01;2415853.01;2415853.01;2415853.01;2415853.01;2415853.01;2415853.01;2415853.01;2415853.01
484798.467;279013.261;69397.858;2343258.944;706732.906;130607.623;326006.257;2693.821;3031335.896;2279989.25;517901.484
